ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Author_ID,Description,Clade,Color,Variety,clade_name,ascii_name,loc_justification,historical,distribution,logNormalMean,logNormalOffset,logNormalStDev,normalMean,normalStDev,fossil,sort_order
3,Albanian: Gheg,gheg1238,Gheg Albanian,aln,Eurasia,42.6670000000,21.1670000000,Indo-European,34,,Albanian,999999,,Albanian,AlbanianGheg,"Set on Pristina, the capital of Kosovo, as a reference point for the variety targeted, namely north-eastern Gheg as spoken roughly in Kosovo.",false,,,,,,,false,18
7,Armenian: Western,homs1234,Western Armenian,hyw,Eurasia,39.9100000000,41.2800000000,Indo-European,6,,Armenian,800080,"Western Armenian literary language, ultimately closely related to the dialect of the Erzerum area.",Armenian,ArmenianWestern,"Set in the town of Erzurum, formerly a major dialect area of Western Armenian in Asia Minor, and ultimately closely related to the Western Armenian literary language effectively based on the dialect of Constantinople (Istanbul).",false,,,,,,,false,17
8,Armenian: Eastern,nucl1235,Eastern Armenian,hye,Eurasia,40.1810000000,44.5140000000,Indo-European,6,,Armenian,800080,Yerevan variety.,Armenian,ArmenianEastern,"Set in Yerevan, the capital of Armenia, the dialect of which historically forms the basis of colloquial Eastern Armenian and is the most widespread of the Armenian dialects today.",false,,,,,,,false,16
10,Bengali,beng1280,Bengali,ben,Eurasia,22.5700000000,88.3600000000,Indo-European,44,,Indo-Iranic;Indic,B0171F,,Indic,Bengali,"Set on Kolkata (Calcutta), capital of the Indian state of West Bengal, and a cultural centre where Bengali is the dominant language.",false,,,,,,,false,25
15,Bulgarian,bulg1262,Bulgarian,bul,Eurasia,42.7000000000,23.3300000000,Indo-European,11,Standard Bulgarian,Balto-Slavic;Slavic;Slavic South,E68A00,Standard,Slavic,Bulgarian,"Set on Sofia, as the capital of Bulgaria",false,,,,,,,false,79
16,Belarusian,bela1254,Belarusian,bel,Eurasia,53.9000000000,27.5700000000,Indo-European,11,Standard Belarusian,Balto-Slavic;Slavic;Slavic East,FFCC80,Standard,Slavic,Belarusian,"Set on Minsk, as the capital of Belarus",false,,,,,,,false,98
17,Catalan,stan1289,Catalan,cat,Eurasia,41.8300000000,1.5400000000,Indo-European,19,,Italic;Roman;Romance,76EE00,Standard Catalan.,Italic,Catalan,"Set roughly on the geographical centre of Catalonia, given that standard Catalan (the variety represented in IE-CoR) is purposely based not on a single dialect.",false,,,,,,,false,141
18,Czech,czec1258,Czech,ces,Eurasia,50.0900000000,14.4200000000,Indo-European,11,Standard Czech,Balto-Slavic;Slavic;Slavic West,FFAD33,Standard,Slavic,Czech,"Set on Prague, as the capital of the Czech Republic",false,,,,,,,false,93
20,Danish,dani1285,Danish,dan,Eurasia,55.6800000000,12.5700000000,Indo-European,7,,Germanic;North-West;North,4169E1,"Standard Danish, as spoken around Copenhagen.",Germanic,Danish,"Set in Copenhagen, generally considered the region closest to the perceived 'standard' form of Danish.",false,,,,,,,false,110
21,Dutch,dutc1256,Dutch,nld,Eurasia,52.1450000000,4.7300000000,Indo-European,67,,Germanic;North-West;West,6495ED,,Germanic,Dutch,"Set on the approximage geographical centre of the Randstad, intermediate between the four main cities of Holland (Amsterdam. Rotterdam, The Hague and Utrecht), the region whose dialect was most influential in the development of modern standard Dutch.",false,,,,,,,false,116
