ID,Name,Concepticon_ID,Concepticon_Gloss,Concepticon_Definition,Description_md
4,ash,646,ASH,The incombustible matter remaining after a substance has been incinerated.,
6,back,1291,BACK,"The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.",
7,bad,1292,BAD,Not good; unfavorable; negative.,
8,bark,1204,BARK,The exterior covering of the trunk and branches of a tree.,
10,belly,1251,BELLY,"The lower part of the front of the torso (or a comparable part of an animal), confined by the upper side by the midriff and the lowerside by the pelvis. Contains the intestines.",
11,big,1202,BIG,Of a great size.,
12,bird,937,BIRD,"Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.",
13,bite,1403,BITE,Clamping the teeth hard on something.,
14,black,163,BLACK,Dark and colourless; not reflecting visible light.,
15,blood,946,BLOOD,A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.,
17,bone,1394,BONE,"Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.",
18,chest,1592,CHEST,The portion of the body from the base of the neck to the top of the abdomen; the thorax.,
19,breathe,1407,BREATHE,"To repeatedly draw air into, and expel it from, the lungs, in order to extract oxygen from it and excrete waste products.",
20,burn,2102,BURN,To put fire on something or to be on fire.,
22,cloud,1489,CLOUD,Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.,
23,cold,1287,COLD,Having a low temperature.,
24,come,1446,COME,"To move toward or to reach either the speaker, the person spoken to, or the subject of the speaker's narrative.",
25,count,1420,COUNT,To determine the amount of something or to enumerate the digits of one's numeral system.,
27,day,1225,DAY (NOT NIGHT),The period between sunrise and sunset where one enjoys daylight.,
28,die,1494,DIE,To cease to live.,
29,dig,1418,DIG,"To move earth, rocks, etc. out of the way, usually to create a hole.",
30,dirty,1230,DIRTY,Covered with or containing unpleasant substances such as dirt or grime.,
31,dog,2009,DOG,"A common four-legged animal, especially kept by people as a pet or to hunt or guard things.",
32,drink,1401,DRINK,To consume a liquid through the mouth.,
33,dry,1398,DRY,(Almost) free from liquid or moisture.,
35,dust,2,DUST,Any kind of solid material divided in particles of very small size.,
36,ear,1247,EAR,"The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.",
37,earth,1228,EARTH (SOIL),The soft and loose material forming a great part of the Earth surface.,
38,eat,1336,EAT,To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.,
39,egg,744,EGG,"Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.",
40,eye,1248,EYE,"The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.",
41,fall,1280,FALL,To descend in free fall due to the effect of gravity.,
42,far,1406,FAR,Having a large intervening distance with regard to something.,
45,fear,1419,FEAR (BE AFRAID),To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.,
46,feather,1201,FEATHER,"A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.",
48,fight,1423,FIGHT,To be involved in a physical confrontation.,
49,nail,1896,FINGERNAIL OR TOENAIL,Hard keratin part growing at the end of a human's finger or toe.,
50,fire,221,FIRE,"The state of combustion in which inflammable material burns, producing heat, flames and often smoke.",
51,fish,227,FISH,A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).,
52,five,493,FIVE,The natural number five (5).,
55,flower,239,FLOWER,"The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.",
56,fly_V,1441,FLY (MOVE THROUGH AIR),"To move autonomously through the air, without any part of the object or object's enclosure touching anything attached to the ground.",
57,fog,249,FOG,"Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.",
58,foot,1301,FOOT,The part of a human’s body below the ankle that is used in order to stand and walk.,
59,four,1500,FOUR,The natural number four (4).,
60,freeze,1431,FREEZE,"To reach a chemically solid state, by the process of cooling.",
61,fruit,1507,FRUIT,A botanical fruit that can be eaten raw used as food.,
62,full,1429,FULL,Containing the most or maximum amount possible in the given available space.,
63,give,1447,GIVE,To transfer the possession or holding (of an object) to another person.,
64,good,1035,GOOD,Having desired or positive qualities.,
65,grass,606,GRASS,"A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.",
66,green,1425,GREEN,"Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.",
68,hair,2648,HAIR (HEAD),The hair on the head of humans (rather than the hair in general or the hair on the body).,
69,hand,1277,HAND,That part of the fore limb below the forearm or wrist in primates (including humans).,
71,head,1256,HEAD,"The part of the body of an animal or human which contains the brain, mouth and main sense organs.",
72,hear,1408,HEAR,"To perceive sound with the ear, without necessarily paying attention to it.",
73,heart,1223,HEART,A muscular organ that pumps blood through the body.,
74,heavy,1210,HEAVY,"Of a physical object, having great weight.",
76,hit,1433,HIT,"To hit against with a sharp blow or to impel, usually with a hand or weapon or to be forcefully or suddenly contacting, e.g. a tree falling down and hitting the ground.",
78,horn,1393,HORN (ANATOMY),A hard growth of keratin that protrudes from the top of the head of certain animals.,
80,hunt,1435,HUNT,To chase down prey and (usually) kill it.,
83,ice,617,ICE,The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.,
86,kill,1417,KILL,To put to death; to end a life.,
87,knee,1371,KNEE,"In man, the joint in the middle part of the leg.",
88,know,1410,KNOW (SOMETHING),To be sure about something or be acquainted with something.,
89,lake,624,LAKE,"An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.",
90,laugh,1355,LAUGH,"To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.",
91,leaf,628,LEAF,"The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.",
92,left,244,LEFT,Something that is on the left side relative to another object.,
93,leg,1297,LEG,The limb of an animal (including humans) that extends from the groin to the ankle.,
95,live,2309,LIVE,To be alive; to have a life.,
96,liver,1224,LIVER,"A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.",
97,long,1203,LONG,Having much distance from one terminating point on an object or an area to another terminating point.,
98,louse,1392,LOUSE,"A small wingless parasitic insect of the order Phthiraptera that lives on humans, other mammals and birds.",
99,man,1554,MAN,An adult human member of the sex that begets young by fertilizing ova.,
101,meat,634,MEAT,"The edible flesh of animals, especially that of mammals.",
102,moon,1313,MOON,A natural satellite of a planet.,
104,mountain,639,MOUNTAIN,A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.,
105,mouth,674,MOUTH,Opening in the lower half of a human face which is used for food ingestion and articulation.,
106,name,1405,NAME,"Any word or phrase which designates a particular person, place, class or thing.",
107,narrow,1267,NARROW,"(Of a path, cave etc.) having a small width.",
108,near,1942,NEAR,Not far distant in time or space or degree or circumstances.,
109,neck,1333,NECK,"The part of the body (found in some animals, including humans) that connects the head and the trunk.",
110,new,1231,NEW,"Recently made, created or begun.",
111,night,1233,NIGHT,"The period between sunset and sunrise, when a location faces far away from the sun, thus when the sky is dark.",
112,nose,1221,NOSE,The organ of the face used to breath and smell.,
114,old,1229,OLD,Having lived or existed for a relatively long period of time.,
115,one,1493,ONE,The natural number one (1).,
118,play,1413,PLAY,To act in a manner such that one has fun; to engage in playful activities expressly for the purpose of recreation.,
119,pull,1455,PULL,"To apply a force to (an object), in order that it moves towards the origin of the force that was applied.",
120,push,1452,PUSH,"To apply a force to (an object), in order that it moves away from the origin of the force that was applied.",
121,rain,1253,RAIN (RAINING),To fall from the clouds in drops of water.,
122,red,156,RED,Having red as its colour.,
124,right,1019,RIGHT,Something that is on the right side relative to another object.,
125,river,666,RIVER,"A stream of water which flows in a channel from high ground to low ground and ultimately to a lake or the sea, except in a desert area where it may dwindle away to nothing.",
127,root,670,ROOT,The absorbing and anchoring organ of a vascular plant; it bears neither leaves nor flowers and is usually subterranean.,
129,rotten,1728,ROTTEN,"Having changed its colour, smell or composition (partially or completely), due to being attacked and decomposed by microorganisms (relating to organic matter).",
130,round,1395,ROUND,Circular or having a circular cross-section in at least one direction.,
132,salt,1274,SALT,A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).,
133,sand,671,SAND,"A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.",
134,say,1458,SAY,To utter specific words or notions.,
136,sea,1474,SEA,A body of salt water that is smaller than an ocean and generally in proximity to a continent.,
137,see,1409,SEE,"To perceive [images] with the eye, without necessarily paying attention to them.",
138,seed,714,SEED,"A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).",
139,sew,1457,SEW,"To pass thread repeatedly through fabric or a material, using a needle, in order to join two or more parts or to make a pattern or motif.",
140,sharp,1396,SHARP,Having the ability to cut easily.,
141,short,1645,SHORT,Small in length by comparison.,
142,sing,1261,SING,To produce harmonious sounds with one's voice.,
143,sit,1416,SIT,To be in a position with the upper body upright and the legs resting.,
144,skin,763,SKIN,"The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.",
145,sky,1732,SKY,"The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.",
146,sleep,1585,SLEEP,To rest in a state of decreased consciousness and reduced metabolism.,
147,small,1246,SMALL,Not large or big; small in size.,
148,smell,1586,SMELL (PERCEIVE),To perceive the presence of molecules in the air by inhaling them through the nose.,
149,smoke,778,SMOKE (EXHAUST),"An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.",
150,smooth,1234,SMOOTH,Not rough; having a surface texture that lacks friction.,
151,snake,730,SNAKE,"Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.",
152,snow,784,SNOW,"The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.",
158,stand,1442,STAND,"To be upright in an erect position, supported by the feet.",
159,star,1430,STAR,A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.,
160,stick,1295,STICK,"A long, thin piece of wood, mainly left in the shape in which it grew, that does not bend.",
