ID,Description,Source,Root_Form,Root_Gloss,Root_Language,Comment,Justification,revised_by,Ideophonic,Dyen,proposedAsCognateTo_pk,proposedAsCognateToScale,parallelDerivation,Root_Form_calc,Root_Language_calc,supersetid
3,,"323[78{S.v. Paš. šā 'back' ""No connection seems possible with Mj škyī, Yd. šīlë 'neck' (or Av ušaδā- a hapax, prob. also 'neck', Sogd B šδʾkw 'neck', GMS §96), whose similarity with Turki šillä (Menges, Glossar zu den Volltexten aus Ost-Turkistan, Wiesbaden, 1955) is only coincidental. There is conceivably a connection with šamz'əy f. šamjº, šənjº PQ 'spine', Wan mula-š'amzi 'back' < *ša-məzay 'back-cord, -wire'.""}]",شا / shaa,,Pashto,,"Etymology uncertain, cf. [Morgenstierne 2003](src-323):78 for suggestions.",4,false,,,0,false,,,
4,,,[خراب / xarāb],,[Persian],,Parallel loans from Persian خراب / xarāb (< Arabic 'destruction'),,false,007-200;007-201;007-202;007-203;007-204;007-205;007-206,,0,false,,,
5,,"83[303{*pau̯s- 'to dress, clothe, cover'}]",*pau̯s-,"'to dress, clothe, cover'",Proto-Iranic,,,,false,008-210,,0,false,,,
7,,"172[II:370-371{S.v. Ved. mr̥gá- 'wild animal', from Proto-Indo-Iranian *mr̥gá- 'wild animal'.  The meaning of the lexeme is transferred to 'bird' in Proto-Iranian, as already attested by Avestan mərəγa- 'bird'. Further etymology unclear.}];442[593{S.v. 10265 *mr̥gacī- 'small animal, bird' [mr̥gá-] > Ash. niṅasäˊ ʻ bird, sparrow ʼ NTS ii 269, Wg. nĩgaċá, Kt. mŕəṅéċ.}]",*mr̥gá-,,Proto-Indo-Iranic,,"Etymology outside of Indo-Iranic unclear ([EWAia](src-172) II:370-371, cf. [Turner 1962–1966](src-442):593 no. 10265).",4,false,012-002,,0,false,,,354
9,,"323[82{Av. tąϑra-| Khot. ttāra- (DKS 126), Sogd. tʾrʾk 'dark', Prs. tār 'id.'| Y[i]d[gha]-M[un]j[i] t'ū/īro 'darkness'.- *tanϑra-.}];172[I:627{Cf. s.v. Ved. támisrā- 'finstere Nacht' (IIr. cf. YAv. tąθra-, Khot. ttāra- 'dunkel', MP tār, NP tārīk 'dunkel', Pašto tōr 'schwarz', Oss. tar 'finster, Finsternis' usw.), from PIE *témH-s-reh₂- (Lat. tenebrae 'Finsternis') to PIE *temH- 'finster sein'.}]",*temH-,,Proto-Indo-European,,"Iranic lexemes, ultimately derivatives from PIE *temH- 'to be dark' ([Morgenstierne 2003](src-323):82, [EWAia](src-172) I:627). Cf. Avestan tąθra- ᾽darkness᾽.",4,false,014-008,,0,false,,,
11,,442[807{S.v. 13952 Skt. haḍḍa- n. 'bone' lex.}];399[III:573{S.v. Skt. haḍḍam 'Knochen / bone'. Unexplained.}],haḍḍa-,,Sanskrit,,"Lexemes as though continuing Sanskrit haḍḍa- 'bone', only attested in lexicographical works. Further etymology uncertain (cf. [Turner 1962–1966](src-442):807 no. 13952; [KEWA](src-399) III:573).",4,false,017-203;017-204;017-205,,0,false,,,
12,,"141[331{S.v. 1. ?*k̑eu̯k- (IEW 597), but cognates are only from within Indo-Iranian.}];172[II:655-656{S.v. Ved. √śoc- 'leuchten, glühen, brennen', probably from PIE *k̑eu̯k-.}];156[III:165-167];83[338-340{S.v. Proto-Iranian *sauč¹ 'burn, emit flames'. ""The IE origin of *sauč¹ cannot be ascertained, perhaps it is a ""Reimbildung"" with *rauč?.}]",*ćau̯k-,,Proto-Indo-Iranic,,"Iranic lexemes derived from Proto-Indo-Iranic *ćau̯k- 'to shine, glow, burn' (Proto-Iranic *sauč- 'to burn, emit flames'). Further etymology uncertain, perhaps PIE *k̑eu̯k- if Greek κύκνος 'swan' is to be connected with an original meaning *'the brightly white (bird)' ([EWAia](src-172) II:655-656, [LIV²](src-141) 331, cf. [Cheung 2007](src-83):338-340, [Abaev 1959–1995](src-156) III:208-210).",4,false,020-206;020-207;020-208,,0,false,,,361
13,,"323[10{or'ǝ, owr'ǝ, war'ǝ, etc. m., Kak[ari Pashto] aw'ar 'a cloud'.- *abrya- (but why no palatalisation of the vowel?)| w(ǝ)ryaj, w(ǝ)rej f. 'cloud(s)' < *abračī.}]",,,,"This seems to be a compound with the first part ""or"" being the actual word for ""cloud"" (given variously as orǝ́, owrǝ́, warǝ́, which derives from common *nebʰ- (cf. NP abr).",,,false,022-208,,0,false,oryaz,Pashto,
14,,"141[323{S.v. *k̑elH- 'kalt werden, frieren' (IEW 551), cf. n1 comparing Ved. śíśira- 'kühl, kalt', YAb. sarəta- 'kalt', root noun in YAv. sarə-δā 'Kälte bringend'.}];274[416–417{S.v. *k̑elH ‘kalt werden, frieren’ (LIV 323, IEW 551), cf. n6 suggesting the Iranian lexemes are rather reflexes of 2. *k̑el- 'warm werden'.}];353[439-440{S.v. Lith. šáltas 'cold' (Latv. salts 'cold'), cognate with YAv. sarəta- 'cold' and also connected within Baltic to Lith. šálti 'freeze', Latv. salt 'freeze, clot', which in turn reflect a root *k̑olH- which may have been of denominative origin.}];172[II:641{Regarding the Iranian nominal forms, cf. notes s.v. Ved. śíśira- 'Vorfrühling, kühle Jahreszeit', where YAv. sarəta- 'kalt', Lith. šálti '[ge]frieren, abkuhlen, kalt werden' are connected to PIE *k̑elH- 'frieren'.}];83[336-337{Cf. s.v. Proto-Iranian *sarH- 'to cool, become cold', from PIE *k̑elH- 'to freeze' (cf. Lith. šálti 'to freeze, to cool (off), become cool', Latv. sal̃t 'to freeze').}];352[1008-1009{Cf. s.v. OLith. šálti 'frieren' (derived adj. šáltas 'kalt'), from PIE *k̑elH- 'kalt werden, frieren'.}]",*k̑elH-,,Proto-Indo-European,,"Iranic and Baltic lexemes derived from PIE *k̑elH- 'to be cold, freeze' ([NIL](src-274) 416-417, cf. [EWAia](src-172) II:641, [Cheung 2007](src-83):336-337, [ALEW](src-352) 1008-1009, [Derksen 2015](src-353):439-440, [LIV²](src-141) 323).",4,false,023-005,,0,false,,,183
15,,"83[372-374{S.v. Proto-Iranic *tač- (1) 'to flow, run, walk', from PIE *tekʷ- 'to hurry, rush, walk, flow' (cf. Skt. tak- 'to rush, hurry', Hitt. u̯atk- 'to jump from', OIr. tech- 'to flow' OCS tešti, Lith. tekė́ti 'to run, flow', etc.).}];323[81-82{S.v. tl- 'to go', rā-tl- 'to come'| pres. j- < *t-j- < Ir. *tač-.}];141[620-621{Cf. s.v. *tekʷ- 'laufen, fließen' (IEW 1059-1060).}];172[I:610-611{Cf. s.v. Ved. √tak- 'stürzen, dahinschießen, eilen (von Tieren, Strömen), from PIE *tekʷ- 'eilen, stürzen, laufen, fließen' (cf. OIr. tech- 'fließen', W go-deb 'Zuflucht', Lith. tekė́ti 'laufen, fließen', OCS tešti 'laufen, eilen', tokъ 'Lauf, Strom', TochB cake 'Fluß' Hitt. watku- 'springen, entspringen').}]",*tekʷ-,,Proto-Indo-European,"The Pashto form ra-tlal literally means ""to go hither"" (cf. rā in Morgenstierne 2003: 69).","A derivative of Proto-Iranic *tač- 'to flow, run, walk' + preverb rā- 'hither' ([Morgenstierne 2003](src-323):81-82, [Cheung 2007](src-83):372-374), further to PIE *tekʷ- 'to run, to flow' (cf. [EWAia](src-172) I:610-611, [LIV²](src-141) 610-611).",4,false,024-210,,0,false,,,284
