id,alias,notes,justificationDiscussion,root_form,root_language,gloss_in_root_lang,loan_notes,loan_source,loanword,loanEventTimeDepthBP,loanSourceCognateClass_id,sourceFormInLoanLanguage,notProtoIndoEuropean,parallelLoanEvent,dubiousSet,parallelDerivation,revisedBy,revisedYet,ideophonic,proposedAsCognateTo_id,proposedAsCognateToScale,alsoUsedInOtherMeanings,name,lateParallelDerivationWithCognate_id,supersetid
1,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,Skrt. ÁPARAḤ 'other' (Turner 1931: 23); comp. Armenian /cognate/567/,,,
2,A,,,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
3,A,,"Etymology uncertain, cf. {ref Morgenstierne 2003}:78 for suggestions.",شا / shaa,Pashto,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
4,A,,Parallel loans from Persian خراب / xarāb (< Arabic 'destruction'),[خراب / xarāb],[Persian],,from Arabic,Persian,True,,,خراب / xarāb,False,True,False,False,,False,False,,0,,,,
5,A,,,*pau̯s-,Proto-Iranic," 'to dress, clothe, cover'",,,False,,,,False,False,False,False,,False,False,,0,,,,
6,N,,,,Waziri,,,,False,,,,False,False,False,False,,False,False,,0,,,,
7,A,,"Etymology outside of Indo-Iranic unclear ({ref EWAia} II:370-371, cf. {ref Turner 1962–1966}:593 no. 10265).",*mr̥gá-,Proto-Indo-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,Cf. 'hunt' in /cognate/4524/.,,,354
9,A,,"Iranic lexemes, ultimately derivatives from PIE *temH- 'to be dark' ({ref Morgenstierne 2003}:82, {ref EWAia} I:627). Cf. Avestan tąθra- ᾽darkness᾽.",*temH-,Proto-Indo-European,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
11,A,,"Lexemes as though continuing Sanskrit haḍḍa- 'bone', only attested in lexicographical works. Further etymology uncertain (cf. {ref Turner 1962–1966}:807 no. 13952; {ref KEWA} III:573).",haḍḍa-,Sanskrit,,,,False,,,,False,False,False,False,MJCS,True,False,,0,,,,
12,A,,"Iranic lexemes derived from Proto-Indo-Iranic *ćau̯k- 'to shine, glow, burn' (Proto-Iranic *sauč- 'to burn, emit flames'). Further etymology uncertain, perhaps PIE *k̑eu̯k- if Greek κύκνος 'swan' is to be connected with an original meaning *'the brightly white (bird)' ({ref EWAia} II:655-656, {ref LIV²} 331, cf. {ref Cheung 2007}:338-340, {ref Abaev 1959–1995} III:208-210).",*ćau̯k-,Proto-Indo-Iranic,,,,False,,,,False,False,False,False,MJCS,True,False,,0,"Cf. 'fight' in /cognate/6758/, 'red' in /cognate/98/, 'white' in /cognate/4407/.",,,361
13,A,"This seems to be a compound with the first part ""or"" being the actual word for ""cloud"" (given variously as orǝ́, owrǝ́, warǝ́, which derives from common *nebʰ- (cf. NP abr).",,,,,,,False,,,,False,False,False,False,,False,False,,0,,,,
