id,gloss,description,notes,percent_coded,doubleCheck,exclude,meaningSetIx,tooltip,meaningSetMember,exampleContext,ixElicitation,concepticon_id
1,all,,,90.29126213592232,False,False,0,,0,He has cut down all the trees.,901,98
2,and,,,86.66666666666667,False,False,0,,0,I can see a tree and a rock.,902,1577
3,animal,,,88.88888888888889,False,False,0,,0,,903,619
4,ash,,,100.0,False,False,0,"The powdery remains of a fire, not the tree species 'ash'.",0,There was nothing left but ash.,132,646
5,at,,,82.78688524590164,False,False,0,,0,He stopped at the rock half way to the village.,904,1461
6,back,,,97.88359788359789,False,False,0,"The noun, part of the human body, not the English adjective or adverb 'back'. ",0,I fell over and now my back hurts.,51,1291
7,bad,,,98.10426540284361,False,False,0,,0,That's a bad idea.,151,1292
8,bark,,,99.40828402366864,False,False,0,The noun for the 'bark' of a tree.  *Not* the verb for the barking of dogs!,0,He tore some bark off the tree.,103,1204
9,because,,,83.33333333333333,False,False,0,,0,,905,1157
10,belly,,,98.53658536585365,False,False,0,,0,He punched him in the belly.,47,1251
11,big,,,98.96373056994818,False,False,0,,0,This is a big stone. That is a small stone.,169,1202
12,bird,,,97.42268041237114,False,False,0,,0,What bird does this feather come from?,92,937
13,bite,,,98.22485207100591,False,False,0,"The verb '(to) bite', not the noun for '(a) bite'.",0,The dog bit him.,228,1403
14,black,,,98.35164835164835,False,False,0,,0,Charcoal is black.,180,163
15,blood,,,98.86363636363636,False,False,0,,0,Blood is red.,58,946
16,blow,,,89.82035928143712,False,True,0,"The  verb '(to) blow', not the noun for (a) blow from hitting.",0,He blew on the sticks to start the fire.,220,0
17,bone,,,98.83720930232558,False,False,0,,0,He fell and broke a bone.,57,1394
18,chest,,,96.0,True,False,0,The part of the body between shoulders and stomach.  *Not* specifically the female breast.,0,His wore a medal on his chest.,46,1592
19,breathe,,,98.84393063583815,False,False,0,,0,People can't breathe underwater. ,218,1407
20,burn,,,97.02970297029702,True,False,0,"Intransitive verb, not transitive.  ",0,The wood is burning in the fire.,280,2102
21,child,,,86.5979381443299,False,True,0,"Kin term, for offspring;  *not* about young age, non-adult.  Opposite of 'parent', not of 'adult;. ",0,That is their first child.,67,0
22,cloud,,,98.34254143646409,False,False,0,,0,There were white clouds in the blue sky.,109,1489
23,cold,,,100.0,False,False,0,,0,The rocks get hot during the day and cold at night.,157,1287
24,come,,,100.0,False,False,0,,0,I saw him on the road. I don't know where he was coming from.,184,1446
25,count,,,100.0,False,False,0,,0,I counted the stones; there were five stones.,240,1420
26,cut,,,97.98994974874371,False,False,0,,0,"I've cut my finger; look, it's bleeding.",272,1432
27,day,,,98.93617021276596,False,False,0,,0,Day and night.,112,1225
28,die,,,99.4475138121547,False,False,0,,0,Everyone dies sooner or later.,214,1494
29,dig,,,95.72192513368984,False,False,0,,0,He is digging in the ground.,292,1418
30,dirty,,,98.49246231155779,False,False,0,,0,This cup is clean and that one is dirty.,166,1230
31,dog,,,99.45945945945945,False,False,0,,0,I would like to own a dog.,79,2009
32,drink,,,100.0,False,False,0,,0,He drank because he was thirsty.,232,1401
33,dry,,,98.33333333333333,False,False,0,,0,Is it dry or wet?,167,1398
34,dull,,,82.22222222222223,False,False,0,,0,,906,1397
35,dust,,,98.91304347826087,False,False,0,,0,"When the ground is dry, you kick up dust when you walk.",121,2
36,ear,,,100.0,False,False,0,,0,One ear of his was bigger than the other ear. ,35,1247
37,earth,,,99.06103286384976,True,False,0,"The material, not the planet.  Generally the sense of the Classical ‘element’, alongside ‘water’, ‘fire’ and ‘air’.’",0,"As he dug the hole, he threw out the earth.",117,1228
38,eat,,,100.0,False,False,0,,0,Eat some food and drink some water.,230,1336
39,egg,,,100.0,False,False,0,,0,Don't drop the egg; it will break!,141,744
40,eye,,,100.0,False,False,0,,0,She closed one eye.,33,1248
41,fall,,,99.40119760479043,False,False,0,,0,I fell from the tree yesterday and hurt my back.,194,1280
42,far,,,100.0,False,False,0,,0,You can't walk there in one day; it's too far.,303,1406
