id,pages,reliability,comment,cognate_class_id,source_id,rfcWeblink
3,327–328,A,"Cf. s.v. 1. *k̑erh₂- 'brechen, zerbrechen (intr.)' (IEW 578). LIV² etymologises the Tocharian forms to a nasal-present stem *k̑r̥-né/n-h₂- (cf. Ved. śr̥ṇāsi 'zerbrichst'); for the proposed cognacy of {ref Adams 2013}:173-174, cf. s.v. *kreu̯s- 'stoßen' (IEW 622) [without Tocharian lexemes connected]",2701,141,
7,121,A,"IE *h2(e)r 'thus, so'
",1884,66,
8,181,A,"S.v. Proto-Celtic *kʷresno- 'wood, tree' from PIE *kʷres- 'bush, thicket' (IEW 633), cf. OEng. hryst 'bushes'.",1757,50,
9,331-332,A,S.v. δίδωμι 'give' < PIE *di-deh₃- 'to give'.,405,66,
10,"138-139, 212-213",A,"S.v. Proto-Slavic *edinъ, *edьnъ 'one' from *h₁ed
-(H)iH-no-.  The origin of the initial element *ed- < *(h₁)edʰ- is unclear.  On the origin of *(H)iH-no-, cf. *jьnъ 'other'.",91,81,
12,357,A,"S.v. Alb. qep 'to sew (together), to seize'. Several proposed etymologies: (1) From Pr. Alb. *klepa, related to Slav *klepati 'to beat, to knock', cf in particular Russ klepat' 'to join together by riveting' (Orel's preferred etymology); (2) Related to Gk καπτω 'to swallow, gulp down' (Camarda); (3) < IE *skep- 'to split' (Meyer); (4) to Lat capiō 'to take' (Pedersen); and (5) onomatopoeia (Trubačev).",467,105,
19,314-315,A,"S.v. Alb. pemë 'fruit-tree, fruit', borrowed from Lat. pōmum 'fruit', pōmus 'fruit-tree'.",3855,105,
20,421,A,"S.v. Alb. shkoj 'to go'. Etymology unclear, cf. entry in Orel for various proposals. (Principally cf. Jokl 1911:80-82 < *shteg 'path', alternatively Meyer 1891:408, comparing Lat. sequor 'follow').",3856,105,
21,86,A,"Rejects Jokl and others from PIE *stei̯gʰ 'schreiten / walk' on the basis that the tectal should be preserved in *stoiGh-, consequently considers the proposal of a loan from Lat. sequor (so Meyer 1891:406) more likely.",3856,130,
22,206,A,Cognate with /cognate/161/ 'when'.,665,105,
23,206,A,Cognate with /cognate/665/ 'where'.,161,105,
24,645,A,"Matirosyan prefers cognacy with Skt. YÁ-(< IE *yós, yéh(a), yód, Mallory 2008: 421) over a root as in the majority of 'where' /cognate/337/.",665,79,
27,193-194,A,"S.v. Alb. krah 'arm, shoulder, side', a loan from Slav *krajь 'end, side, extremity'. Etymologies proposed by other scholars are also mentioned: (i) comparison with Lith kárka 'shin, shank' and Slav korkъ 'id' but this is morphophonologically difficult, (ii) comparison with Skt kisku- 'forearm', (iii) < IE *kar-skā and compared with Skt kará- 'hand, elephant's trunk', (iv) to Arm. srunk' 'calf (anat.)', Lat crūs 'shank'.",539,105,
28,376,A,"< IE *bhes-, one of two terms for 'to rub', the other being *merd-. Other cognates include Gk psáo 'rub', Skt bábhasti 'chews thoroughly, devours', psáti 'chews, swallows'. ",540,75,
29,"104, 414",A,"Derived from root attested in shij 'to thresh', a borrowing < Lat exigere 'to drive away, push out, throw'. ",540,105,
30,420,A,"< IE *kwom-, a special development of the masc. acc. of *kwos-, cognate (among others) with 'if' in /cognate/2750/.",161,75,
31,494-501,A,"S.v. *mé 'inmitten, einschliesslich; mit' Partikel, inklusiv; Adverb, lokal; oft mit Lok.  Base form is *mé- many sub-branches have created new adpositions through compounding of further adverbial- or case-endings.  AGk. μετά, PGmc. *meða- < *mé-th₂, PGmc. *meði < *mé-dʰi-. The Albanian forms are derivationally unclear, and they may be original, but borrowing is in principle possible from Modern Greek με (from μετά with haplology in sequences with the n.pl. article *μετά τά >> με τά), cf. fn1a.",541,294,
32,136,A,"PAlb *semdza goes back to IE *sem-gho-, a suffix derivative of IE *sem- 'one' (/lexeme/23632/), as in Arm ez (same root). ",351,105,
35,370,A,"S.v. Alb. rëndë ~ randë 'heavy'. Continues PAlb *raunta derived from the verbal stem of aor. rashë < *rauša 'to fall' (s.v. bie), a sigmatic aorist of IE *reu- 'tear'.",416,105,
36,119,A,"S.v. Alb. godas 'to strike, to beat', borrowed from Slavic *goditi used in a meaning unattested in South Slavic.",562,105,
40,266-267,A,"S.v. Arm. erkayn 'long' and Arm. erkar 'long'. The majority opinion connects the Armenian forms with Gk. δηρός 'lasting long', Lat. dūrō 'to last out', and Skrt. dūrá- 'far' < *du̯eh₂-ró-. Cf. possibly also Lith. er̃dvas 'wide, spacious', however this Lithuanian connection is uncertain since the Lith. accent and Skt. árdha- 'side, part, region' point to a *-dʰ-.",613,79,
42,117-118,A,"S.v. Arm. asem 'to say, tell, speak', usually compared with Gk. ἦ < *h₁e-h₁eg̑-t 'he said', Lat. aiō 'say', etc.",636,79,
