id,pages,reliability,comment,cognate_judgement_id,source_id
49568,269,,"njegull secondary from mjegull 'cloud', Proto Alb. *meg(u)la- ~ Grk. ὀμίχλη 'fog, mist', Lith. miglà 'id.', Slav. mъgla 'darkness, mist'.",55919,105
49598,128,,,57278,83
38762,932,A,"Possibly from Syriac qəlāfā 'folium libri', qəlāfəθā 'cortex, squama, putamen mali granata'. Alternatively, Jahukyan (1987:482; 2010:398) suggests the form reflects PIE *(s)kel-.  This is however phonetically problematic.",29005,180
49614,372,,,57717,83
30305,"119,176",A,,30061,50
30567,188-189,A,,30316,50
31645,157,A,,31352,105
30563,61,A,,30312,50
44602,459,A,Proto-Armenian *mec-a- regularly continues PIE *meg̑h₂-.,28616,79
31845,"443, 288",A,,31524,105
27071,,B,Removed lexeme from /cognate/483/ due to (probably) mistaken or accidental coding. ,26993,56
31945,,B,,31589,99
31646,19,A,,31352,130
31849,479,A,,31528,105
31655,3,B,,31360,105
49599,1051,,,57283,49
49617,366,,,58827,156
31951,387,A,,31595,105
31851,301,A,,31530,105
30018,48,A,,29817,151
38769,,A,Martirosyan (2010:363) suggests that կիծ- kic- and խած- xac- may be cognates.,21126,276
31562,,A,,31275,137
31663,185,A,,31368,105
31855,256,A,,25774,105
46984,,,,42601,172
31567,,A,,31280,105
31959,42-43,L,,31601,105
31568,163,L,,31281,105
29740,,A,,27408,99
29741,,A,,27407,99
31963,"292, 394",A,,31602,105
29742,,A,,27409,99
31671,284,A,,31373,105
31666,3-4,A,,31371,105
29745,,A,,27411,99
30036,321,A,,29832,151
49570,25,,"fjeta (also flétë, pl. flétëra) < Ital. foglietto 'A small piece of paper, a slip, a leaflet'",55920,687
31574,103,A,,31287,105
49618,734,,,58827,184
31679,121,A,,9420,66
31973,445-446,L,,31610,105
18894,,B,No evidence for this cognate classification in Kroonen (2013). Consider removing from class.,18883,56
29756,,A,,27420,99
31580,68,A,,31293,105
31582,366,A,,31295,105
31583,105,A,,31296,105
29911,,L,,29728,99
31887,"104, 414",L,,31554,105
31888,376,A,,31554,75
31587,291,A,Removed lexeme from language-internal cognate class.,31301,105
29908,,A,,29725,99
31883,193-194,A,,31553,105
30734,,A,,30478,137
29765,,A,,27426,99
29772,,A,,27434,99
49601,83,,,57297,83
49619,719-720,,Meaning and therefore cognacy of Vedic word dā́nu- not clear.,58827,691
31803,390,L,,31485,105
31896,124,A,,31556,105
31903,678,A,Moved from /cognate/2660/.,31560,47
31805,390,L,,31487,105
31809,,B,No entry in Orel.,31491,99
30509,"119,176",A,,30258,50
29779,,A,,27439,99
31608,140-141,A,"May well be a borrowing < Lat ovum 'id.' but Holm (2011) counters this position, stating that Orel has not accounted for the vocalism. Same etymological root whether a loan or not, however.",31322,105
21471,220,A,"The connection of Arm. glux with BSlav. 'head' is possible, but details are uncertain.",21403,79
29780,,A,,27440,99
31815,96,L,,31493,105
31419,,A,,31146,137
31623,316,A,,31335,105
49602,270,,,57306,83
17162,,A,,17162,48
17167,,A,,17168,48
17174,,A,,17175,48
17179,,A,,17180,47
17185,,A,,17186,48
17186,,A,,17187,47
17188,,A,,17189,47
17193,,A,,17194,47
17196,,A,,17197,47
17203,,B,,17206,48
17204,,C,,17207,48
17206,,A,,17211,47
17211,,A,,17216,47
17219,,C,,17224,48
17223,,A,,17228,47
17224,135-137,A,,17229,47
29952,,A,,29770,137
31630,177,A,,31341,105
30525,427-428,A,"From Proto-Celtic *u̯olto- 'hair', cf. PIE *u̯ol-t- 'hair' (IEW 1138).

",30274,50
30529,435,A,,30278,50
17290,,A,,17296,47
17291,,A,,17297,47
17243,,A,,17250,47
17254,,A,,17261,48
17260,,A,,17267,48
17275,,A,,17281,47
17276,,A,,17282,47
29956,,A,,29774,137
17304,,A,,17309,47
17309,,A,,17314,48
17310,,A,,17316,50
17326,,A,,17332,48
17335,,A,,17341,48
17345,,A,,17351,48
29957,,A,,29775,137
17438,,A,,17443,48
17451,,A,,17456,48
17454,,A,,17459,48
17461,,A,,17466,48
17517,,A,,17522,48
17520,,A,,17525,48
17527,,A,,17532,48
17543,,A,,17548,48
17570,,A,,17575,48
17605,,A,,17610,48
49603,425,,,57310,83
17767,,B,,17774,56
17645,,A,,17651,47
17662,,A,,17669,48
17701,,A,,17707,57
17706,,A,,17713,56
17711,,A,,17718,56
17716,,A,,17723,56
17718,,A,,17725,56
17724,,A,,17731,56
17726,,A,,17733,56
17740,,A,,17747,56
17745,,A,,17752,56
17747,,A,,17754,56
17756,,A,,17763,56
17763,,A,,17770,56
49572,129f.,,"Proto Alb. *salwa- ~ Akt. sárva etc., with older literature.",55922,105
17852,,A,,17860,56
17855,,A,,17863,56
17857,,A,,17865,56
17917,,A,,17925,56
17923,,A,,17931,56
17931,,A,,17939,56
17960,,A,,17968,56
17964,,A,,17972,56
17970,,A,,17978,54
17994,,A,,18002,56
18009,,A,,18017,56
18063,,A,,18071,56
18087,,A,,18095,56
18102,,A,,18110,56
18114,,A,,18122,56
18120,,A,,18128,56
18124,,A,,18132,56
18135,,A,,18143,56
18160,,A,,18168,56
18165,,A,,18173,56
18184,,A,,18192,56
18203,,A,,18211,56
49604,93,,,57311,83
49573,182,,"(i) gjallë 'alive, vivid'; Arbëresh It./Gr., oldest literature gjéllë 'life, existence'. 
~ Skr. sárva-, Grk. ὅλος 'whole, entire', Lat. salvus 'safe, well, unharmed'.",55922,369
18355,,B,,18361,56
18356,,A,,18362,47
18360,,B,,18366,56
18361,,A,,18367,47
18362,,A,,18368,56
18364,920,A,,18370,47
18365,,A,,18371,47
18367,,B,,18373,56
18370,919,A,,18376,47
18371,919,A,,18377,47
18372,919,A,,18378,47
18257,,A,,18264,56
18259,,A,,18266,56
18283,,A,,18290,56
18300,,A,,18306,47
18301,,A,,18307,56
18302,,A,,18308,56
18303,,A,,18309,56
18308,,A,,18314,56
18311,,A,,18317,56
18313,,A,,18319,56
18324,,A,,18330,56
18566,,A,,18560,56
18600,,B,,18593,56
18603,,B,,18596,56
18440,,A,,18446,56
18441,76,A,,18445,47
18452,,A,,18450,56
18478,,A,,18476,56
18508,,A,,18504,56
18515,,A,,18511,56
18516,,A,,18512,56
18539,,A,,18534,56
18745,,A,,18737,56
18746,,A,,18738,56
18747,925,A,,18739,47
18748,925,A,,18740,47
18749,925,A,,18741,47
18751,926,A,,18743,47
18752,926,B,,18744,47
49605,299,,"S.v. Khot. bulysa- 'long', to Av. bərəzant- 'high', BSogd. βrzʾk, βrz 'long', Waxī vərz, vorz 'long', Pašto ūẓ̌d, etc., from PIE *bʰerg̑ʰ-",57316,320
18755,925,A,,18747,47
18756,,A,,18748,56
18758,,A,,18750,56
18636,,A,,18629,56
18642,,A,,18635,56
18643,869,A,,18636,47
18648,869,A,,18641,47
18657,869,A,,18648,47
18660,869,A,,18651,47
18870,,A,,18859,56
18872,680,A,,18861,47
18873,680,A,,18862,47
18874,680,A,,18863,47
18875,680,A,,18864,47
18876,680,A,,18865,47
18877,,B,,18866,56
18878,680,L,fr. Slav. (Buck),18867,47
18879,,B,,18868,56
18880,,B,,18869,56
18881,680,B,,18870,47
18882,680,B,,18871,47
18883,680,B,,18872,47
18886,677,A,,18875,47
18888,,A,,18877,56
18890,677,A,,18879,47
18900,677,A,,18889,47
18903,677,A,,18892,47
29958,,A,,29776,137
18808,71,A,,18800,47
18809,71,A,,18801,47
18811,71-72,A,,18803,47
18812,71-72,A,,18804,47
18829,184,A,,18820,47
18839,184,A,,18830,47
18847,128,A,,18838,50
18854,,A,,18845,56
18863,,A,,18854,56
18917,,A,,18907,56
19007,66,A,,18995,47
19034,65,A,,19022,47
19056,508,A,,19042,65
19061,,A,,19047,56
19062,,A,,19048,56
19063,,A,,19049,56
19088,931,A,,19071,47
49606,25,,"cf. Pashto γūna 'hair (of the body), pore, colour (of the skin)'",57317,340
19192,1058-1059,A,,19172,47
19193,1058-1059,A,,19173,47
19202,,A,,19181,56
19209,,A,,19188,56
19226,,A,,19205,48
19228,73,A,,19207,47
19231,73,A,,19210,47
19233,73,A,,19212,47
19240,,A,,19219,48
29960,,A,,29778,137
29961,,A,,29779,137
19358,1036,A,,19335,47
19363,1036-1039,A,,19340,47
19364,1036-1039,A,,19341,47
19366,1036-1039,A,,19343,47
19368,1036-1039,A,,19345,47
29962,,A,,29780,137
19521,1208-1209,A,,19494,47
19538,1209,A,,19511,47
19544,,A,,19517,47
19563,525,A,,19536,47
19564,525,A,,19537,47
19566,525,A,,19539,47
49607,66,,derived from *pad-ma- (cf. Sariqoli poδm),57320,323
19846,922-923,A,,19814,47
19847,922-923,A,,19815,47
19848,922-923,A,,19816,47
19849,922-923,A,,19817,47
19855,922-923,B,,19823,47
19687,80-81,A,,19657,47
19694,80-81,A,,19664,47
19702,,A,,19672,56
19704,82,A,,19674,47
19767,1240,A,,19737,66
19780,681,A,,19748,47
19783,,A,,19751,48
19858,922-923,A,,19826,47
19859,922-923,A,,19827,47
19863,922-923,A,,19831,47
19865,,B,,19833,56
19866,922-923,A,,19834,47
19870,922-923,B,"Presumably the same as Polish 'wiela' /lexeme/12649/. Not cognate set /cognate/2235/, despite similarity",19838,47
29963,,A,,29781,137
19877,922-923,A,,19845,47
19878,922-923,A,,19846,47
19880,922-923,A,,19848,47
19885,201-202,A,,19853,47
19907,202,A,,19875,69
19918,228-229,A,,19886,47
19927,228-229,A,,19895,47
19955,,A,,19923,48
19957,,A,,19925,48
19968,,A,,19936,48
19979,175,A,,19947,75
19983,,A,,19950,56
19988,,A,,19955,48
20001,232,A,,19968,47
19881,210,A,,19849,47
20005,232,A,,19972,47
20008,232,A,,19975,47
