id,citation_text,description,bookauthor,booktitle,chapter,edition,howpublished,note,number,institution,pages,title,ENTRYTYPE,link,volume,year,shorthand,author,editor,editora,publisher,series,authortype,booksubtitle,editoratype,editortype,isbn,journaltitle,location,part,subtitle,deprecated,TRS,respect
3,"Ball, M., ed. (1993). The Celtic Languages. London: Routledge.",,,,,,,,,,,The Celtic Languages,book,,,1993,Ball 1993,,"Ball, M.",,Routledge,,P,,,,,,London,,,False,False,
4,"Bergsland, K. & H. Vogt (1962). “On the validity of glottochronology”. In: Current Anthropology 3, pp. 115–153.",,,,,,,,3,,115–153,On the validity of glottochronology,article,,,1962,Bergsland & Vogt 1962,"Bergsland, K. and Vogt, H.",,,,,P,,,,,Current Anthropology,,,,False,False,
5,"Borooah, A. (1971). English-Sanskrit Dictionary. Assam: Publication board.",,,,,,,,,,,English-Sanskrit Dictionary,book,,,1971,Borooah 1971,"Borooah, A.",,,Publication board,,P,,,,,,Assam,,,False,False,
6,"Cardona, G. & D. Jain, eds. (2003). The Indo-Aryan Languages. London: Routledge.",,,,,,,,,,,The Indo-Aryan Languages,book,,,2003,Cardona & Jain 2003,,"Cardona, G. and Jain, D.",,Routledge,,P,,,,,,London,,,False,False,
7,"Davis, A. L. (1984). Basic Colloquial Maithili. A Maithili-Nepali-English Vocabulary with Some Structural Notes. Delhi: Motilal.",,,,,,,,,,,Basic Colloquial Maithili,book,,,1984,Davis 1984,"Davis, A. L.",,,Motilal,,P,,,,,,Delhi,,,False,False,
9,"Grierson, George A., ed. (1968b). Linguistic Survey of India. Vol. V: Indo-Aryan Family, Eastern Group.1: Specimen of the Bengali and Assamese Languages. Delhi: Motilal Banarsidass.",,,,,,,,,,,Linguistic Survey of India,book,,"V: Indo-Aryan Family, Eastern Group",1968,Grierson 1968b,,"Grierson, George A.",,Motilal Banarsidass,,P,,,,,,Delhi,,,False,False,
10,"Grierson, George Abraham, ed. (1968c). Linguistic Survey of India. Vol. V: Indo-Aryan Family, Eastern Group.2: Specimen of the Bihari and Oriya Languages. Delhi: Motilal Banarsidass.",,,,,,,,,,,Linguistic Survey of India,book,,"V: Indo-Aryan Family, Eastern Group",1968,Grierson 1968c,,"Grierson, George Abraham",,Motilal Banarsidass,,P,,,,,,Delhi,,,False,False,
11,"Grierson, George Abraham (1968a). Linguistic Survey of India. Vol. IX: Indo-Aryan Family, Central Group.2: Specimen of the Rajasthani and Gujarati. Delhi: Motilal Banarsidass.",,,,,,,,,,,Linguistic Survey of India,book,,"IX: Indo-Aryan Family, Central Group",1968,Grierson 1968a,"Grierson, George Abraham",,,Motilal Banarsidass,,P,,,,,,Delhi,,,False,False,
12,"Gusain, Lakhan (2004). Marwari. Languages of the world/Materials 427. Munich: Lincom Europa.",,,,,,,,427,,,Marwari,book,,,2004,Gusain 2004,"Gusain, Lakhan",,,Lincom Europa,Languages of the world/Materials,P,,,,,,Munich,,,False,False,
13,"Grujić, Branislav (1969). Englesko Srpskohrvatski Skolski Recnik (English Serbo-Croatian School Dictionary). Ilustrovani priručnici stranih jezika. Titograd: Grafički zavod.",,,,,,,,,,,Englesko Srpskohrvatski Skolski Recnik (English Serbo-Croatian School Dictionary),book,,,1969,Grujić 1969,"Grujić, Branislav",,,Grafički zavod,Ilustrovani priručnici stranih jezika,P,,,,,,Titograd,,,False,False,
